			 			12252
Princeton University, Princeton, NJ, USA			Princeton University			111
University of Surrey			University of Surrey			111
Oregon State University			Oregon State University			109
University of Texas at Austin			University of Texas at Austin			109
MIT CSAIL			Massachusetts Institute of Technology			108
Technical University of Berlin			Technical University of Berlin			107
University of Texas at Austin, Austin, TX			University of Texas at Austin			106
Imperial College London			Imperial College London			104
Rensselaer Polytechnic Institute			Rensselaer Polytechnic Institute			104
University of New South Wales			University of New South Wales			104
Iowa State University			Iowa State University			102
NEC			NEC			102
University of Hong Kong			University of Hong Kong			102
University of North Carolina Chapel Hill			University of North Carolina, Chapel Hill			101
University of Southampton			University of Southampton			101
Columbia University, New York, NY			Columbia University			100
University of Pennsylvania, Philadelphia, PA			University of Pennsylvania			100
Northeastern University			Northeastern University			99
State University of New York at Buffalo			State University of New York, Buffalo			99
Tokyo Institute of Technology			Tokyo Institute of Technology			99
University of California, Irvine, Irvine, CA, USA			University of California, Irvine			99
University of Pennsylvania, Philadelphia, PA, USA			University of Pennsylvania			99
Academia Sinica			 			98
Carnegie Mellon University, Pittsburgh, Pennsylvania, USA			Carnegie Mellon University			98
Catholic University of Leuven			Catholic University of Leuven			98
Massachusetts Institute of Technology, Cambridge, MA, USA			Massachusetts Institute of Technology			98
University of Science and Technology of China, Hefei, China			University of Science and Technology of China			96
Fudan University			Fudan University			95
University College London, London, United Kingdom			UCL			95
Institute of Automation Chinese Academy of Sciences			Chinese Academy of Sciences			94
Microsoft Corporation, Redmond, WA, USA			Microsoft			94
Ghent University			Ghent University			93
Purdue University, West Lafayette			Purdue University			93
University of Arizona			University of Arizona			93
The University of Texas at Austin			University of Texas at Austin			91
University of Central Florida			University of Central Florida			91
Purdue University, West Lafayette, IN			Purdue University			90
University of California, Irvine			University of California, Irvine			90
University of Wisconsin-Madison, Madison, WI, USA			University of Wisconsin-Madison			90
University of Pittsburgh			University of Pittsburgh			89
Harbin Institute of Technology, Harbin, China			Harbin Institute of Technology			88
Queen Mary University of London			Queen Mary, University of London			88
North Carolina State University, Raleigh, NC			North Carolina State University			87
University of British Columbia, Vancouver, BC, Canada			University of British Columbia			87
University of Edinburgh, Edinburgh, UK			University of Edinburgh			87
Virginia Polytechnic Institute and State University			Virginia Polytechnic Institute			87
EPFL, Lausanne, Switzerland			École Polytechnique Fédérale de Lausanne			86
AT&T Labs Research			AT&T Labs			85
Institute for Infocomm Research, Singapore			 			85
University of Rochester			University of Rochester			85
Shanghai Jiao Tong University, Shanghai, China			Shanghai Jiao Tong University			84
University of Massachusetts, Amherst, MA			University of Massachusetts, Amherst			84
University of Virginia			University of Virginia			84
California Institute of Technology			California Institute of Technology			83
ERNET India			 			83
Georgia Institute of Technology, Atlanta			Georgia Institute of Technology			83
National Taiwan University, Taipei			National Taiwan University			83
Weizmann Institute of Science			Weizmann Institute of Science			83
Arizona State University, Tempe, AZ			Arizona State University			82
Delft University of Technology			Delft University of Technology			82
RWTH Aachen University, Aachen, Germany			RWTH Aachen University			82
Fudan University, Shanghai, China			Fudan University			81
George Washington University			George Washington University			81
Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China			Chinese Academy of Sciences			81
The Pennsylvania State University, University Park, PA, USA			Pennsylvania State University			81
Microsoft Research India, Bangalore, India			Microsoft			80
University of Texas Arlington			University of Texas, Arlington			80
University of Wisconsin-Madison			University of Wisconsin-Madison			80
Duke University, Durham, NC			Duke University			79
Hong Kong University of Science and Technology			Hong Kong University of Science and Technology			79
Politecnico di Milano			Politecnico di Milano			79
University of Toronto, Toronto, Canada			University of Toronto			79
University of Washington, Seattle, Washington, USA			University of Washington			79
Aristotle University of Thessaloniki			Aristotle University of Thessaloniki			78
IBM T.J. Watson Research Center			IBM			78
University of California, San Diego, La Jolla, CA, USA			University of California, San Diego			78
Czech Technical University			Czech Technical University			77
Huazhong University of Science & Technology			Huazhong University of Science & Technology			77
Mitsubishi Electric Research Laboratories			 			77
Rice University			Rice University			77
The Chinese University of Hong Kong			Chinese University of Hong Kong			77
Tsinghua University			Tsinghua University			76
University of Bristol			University of Bristol			76
University of Edinburgh, Edinburgh, United Kingdom			University of Edinburgh			76
Vienna University of Technology			Vienna University of Technology			76
ETH Zurich			ETH Zurich			75
Korea University			Korea University			75
University of Cambridge, Cambridge, United Kingdom			University of Cambridge			75
Yale University			Yale University			75
Beijing University of Aeronautics and Astronautics)			Beijing University of Aeronautics and Astronautics			74
Lucent Technologies Inc.)			Lucent Technologies			74
Rheinisch Westfalische Technische Hochschule Aachen			Rheinisch Westfalische Technische Hochschule Aachen			74
Universitat Politècnica de Catalunya			Universitat Politècnica de Catalunya			74
IBM Haifa Research Laboratory			IBM			73
Johns Hopkins University, Baltimore, MD			Johns Hopkins University			73
The Chinese University of Hong Kong, Hong Kong			Chinese University of Hong Kong			73
University of Minnesota, Minneapolis, MN, USA			University of Minnesota			73
Northwestern University, Evanston, IL, USA			Northwestern University			72
Saarland University, Saarbrücken, Germany			Saarland University			72
University of Maryland, College Park			University of Maryland			72
Virginia Tech			Virginia Polytechnic Institute			72
Washington University in St. Louis			Washington University in St. Louis			72
Google			Google			71
University of California Davis			University of California, Davis			71
Xi'An Jiaotong University			Xi'An Jiaotong University			71
Columbia University, New York, NY, USA			Columbia University			70
Yahoo! Research, Barcelona, Spain			Yahoo			70
National ICT Australia			 			69
North Carolina State University, Raleigh, NC, USA			North Carolina State University			69
UC Berkeley			University of California, Berkeley			69
University of California, Davis			University of California, Davis			69
University of California, Santa Barbara, Santa Barbara, CA, USA			University of California, Santa Barbara			69
University of Tübingen			University of Tübingen			69
Illinois Institute of Technology			Illinois Institute of Technology			68
University of Calgary			University of Calgary			68
Darmstadt University of Technology			Darmstadt University of Technology			67
Southeast University China			Southeast University China			67
University of California Santa Cruz			University of California, Santa Cruz			67
École Normale Supérieure Paris			École Normale Supérieure, Paris			67
The University of Texas at Austin, Austin, TX			University of Texas at Austin			66
University of California Riverside			University of California, Riverside			66
University of Sydney			The University of Sydney			66
Technion, Haifa, Israel			 			65
University of Delaware			University of Delaware			65
University of Tokyo, Tokyo, Japan			The University of Tokyo			65
Dartmouth College			Dartmouth College			64
Duke University, Durham, NC, USA			Duke University			64
MIT, Cambridge, MA			Massachusetts Institute of Technology			64
McGill University			McGill University			64
University of Minnesota, Minneapolis			University of Minnesota			64
Zhejiang University, Hangzhou			Zhejiang University			64
Association for Computing Machinery, New York, NY			 			63
Brown University, Providence, RI			Brown University			63
IBM Almaden Research Center, San Jose, CA, USA			IBM			63
MIT			Massachusetts Institute of Technology			63
National Aeronautics and Space Administration, United States			 			63
University of Florida, Gainesville			University of Florida			63
University of Missouri			University of Missouri			63
University of Utah, Salt Lake City, UT, USA			University of Utah			63
University of Waterloo, Waterloo			University of Waterloo			63
Delft University of Technology, Delft, Netherlands			Delft University of Technology			62
IBM Almaden Research Center			IBM			62
MPI Informatik			 			62
Technische Universität Darmstadt, Darmstadt, Germany			Technische Universität Darmstadt			62
Tel Aviv University, Tel Aviv, Israel			Tel Aviv University			62
University of Adelaide			The University of Adelaide			62
University of Lugano, Lugano, Switzerland			 			62
University of Manchester			The University of Manchester			62
University of Science & Technology of China			University of Science and Technology of China			62
Università di Bologna			Università di Bologna			62
Université de Montreal			 			62
Universidad Carlos III de Madrid			 			61
University of Sheffield			The University of Sheffield			61
Rice University, Houston, TX, USA			Rice University			60
University of California at Berkeley			University of California, Berkeley			60
University of Kentucky			 			60
University of Ottawa			 			60
